gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportHetDeletion	hetDeletionThreshold	reportLoh	reportDisruption	reportAmplification	amplificationRatio	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	reportGermlineAmplification	additionalReportedTranscripts	reportPGX	reportHighExpression	reportNovelSpliceJunction
STAT3	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
STAT5B	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
SUZ12	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
TP53	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	ANY	ANY	ANY	ANY	TRUE		FALSE	FALSE	FALSE
UBTF	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE			FALSE		FALSE	TRUE	TRUE
CBLB	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
CTNNB1	TRUE	FALSE	FALSE	TRUE	FALSE	0.6	FALSE	TRUE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	TRUE
GATA2	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
GATA2_intron4	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
MYD88	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
SETD2	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
TERC	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
BCL2	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
SETBP1	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
